file name,storage class,capacity (GiB),average random read latency (ms),average random write latency (ms),random read IOPS,random write IOPS,random read BW (MiB/s),random write BW (MiB/s),sequential read BW (MiB/s),sequential write BW(MiB/s),mixed random read IOPS,mixed random write IOPS
azure/results/azure-blob-dbench-default-output.txt,blob,10,0.32671,0.1705,15.6k,24.3k.,3292,251,1345,211,2905,956


azure/results/azure-blob-nfs-dbench-default-output.txt,blob-nfs,10,52.09,405.98,888,27.,123,7328,228,27,75,25


azure/results/azure-nfs-dynamic-dbench-default-output.txt,example-nfs,10,0.24466,10.05,15.8k,564.,841,70,1092,141,1620,546
azure/results/azure-nfs-dynamic-dbench-default-output.txt,example-nfs,10,0.23479,10.10,16.1k,561.,813,67,1142,144,1632,546
azure/results/azure-nfs-dynamic-dbench-default-output.txt,example-nfs,10,0.23371,10.05,15.2k,563.,810,69,1160,142,1653,546


azure/results/azure-nfs-file-share-dbench-default-output.txt,azurefile-csi-nfs,100,44.84,14.00,4151,1660.,368,162,486,144,380,126


azure/results/azure-rook-ceph-dbench-default-output.txt,rook-cephfs,25,0.85471,14.13,11.7k,548.,405,69,385,112,1603,542
azure/results/azure-rook-ceph-dbench-default-output.txt,rook-cephfs,25,0.80525,12.02,11.9k,566.,436,69,390,111,1642,543
azure/results/azure-rook-ceph-dbench-default-output.txt,rook-cephfs,25,0.78607,12.37,11.2k,567.,406,69,415,113,1609,533


azure/results/azurefile-100Gi-output.txt,azurefile,100,5.36,4.96,549,1022.,60,129,118,123,643,209
azure/results/azurefile-100Gi-output.txt,azurefile,100,5.56,4.92,576,1028.,62,128,125,122,615,204
azure/results/azurefile-100Gi-output.txt,azurefile,100,9.59,4.95,701,1023.,64,128,126,158,502,169


azure/results/azurefile-10Gi-output.txt,azurefile,10,9.50,5.06,364,1025.,66,128,132,151,627,211
azure/results/azurefile-10Gi-output.txt,azurefile,10,5.43,4.90,556,1022.,58,128,140,159,601,204
azure/results/azurefile-10Gi-output.txt,azurefile,10,5.74,5.03,511,1022.,62,128,129,149,520,175


azure/results/azurefile-1Ti-output.txt,azurefile,1024,5.52,5.01,607,1018.,64,127,139,151,535,176
azure/results/azurefile-1Ti-output.txt,azurefile,1024,16.33,5.17,586,1023.,65,128,125,151,494,164
azure/results/azurefile-1Ti-output.txt,azurefile,1024,5.38,4.89,560,1020.,71,128,133,158,582,194


azure/results/azurefile-500Gi-output.txt,azurefile,500,6.13,5.10,727,1016.,77,128,116,145,685,228
azure/results/azurefile-500Gi-output.txt,azurefile,500,6.69,5.12,445,1025.,52,129,124,157,527,170
azure/results/azurefile-500Gi-output.txt,azurefile,500,18.17,4.85,500,1027.,63,128,130,151,564,189


azure/results/azurefile-csi-nfs-100Gi-output.txt,azurefile-csi-nfs,100,39.40,13.25,4131,1077.,349,162,507,139,340,112
azure/results/azurefile-csi-nfs-100Gi-output.txt,azurefile-csi-nfs,100,43.91,14.18,4120,1044.,354,162,487,149,380,126
azure/results/azurefile-csi-nfs-100Gi-output.txt,azurefile-csi-nfs,100,32.28,12.93,4120,934.,311,162,348,139,488,163


azure/results/azurefile-csi-nfs-1Ti-output.txt,azurefile-csi-nfs,1024,2.66797,2.53638,3967,2633.,329,162,543,163,1768,579
azure/results/azurefile-csi-nfs-1Ti-output.txt,azurefile-csi-nfs,1024,2.69734,2.64,4135,3055.,288,162,331,164,2679,883
azure/results/azurefile-csi-nfs-1Ti-output.txt,azurefile-csi-nfs,1024,2.81536,2.72165,4144,2536.,342,162,491,162,2207,726


azure/results/azurefile-csi-nfs-500Gi-output.txt,azurefile-csi-nfs,500,2.74968,2.65623,4142,3587.,253,162,342,161,1490,501
azure/results/azurefile-csi-nfs-500Gi-output.txt,azurefile-csi-nfs,500,6.68,2.57,4150,3190.,304,162,357,162,1374,470
azure/results/azurefile-csi-nfs-500Gi-output.txt,azurefile-csi-nfs,500,3.70,2.64312,4135,2675.,287,162,357,159,1366,457


azure/results/azurefile-premium-100Gi-output.txt,azurefile-premium,100,3.6352,12.84,4041,1077.,154,162,163,131,1102,357
azure/results/azurefile-premium-100Gi-output.txt,azurefile-premium,100,3.34649,9.85,4042,1156.,150,155,163,153,1910,633
azure/results/azurefile-premium-100Gi-output.txt,azurefile-premium,100,3.14311,10.42,4044,1010.,155,156,152,155,1747,582


azure/results/azurefile-premium-10Gi-output.txt,azurefile-premium,10,

azure/results/azurefile-premium-1Ti-output.txt,azurefile-premium,1024,3.62498,1.97202,4045,4205.,155,154,164,161,2902,962
azure/results/azurefile-premium-1Ti-output.txt,azurefile-premium,1024,4.29,2.47,3964,4172.,152,154,162,158,2872,949
azure/results/azurefile-premium-1Ti-output.txt,azurefile-premium,1024,3.80255,2.05627,4041,4187.,151,157,164,161,2867,962


azure/results/azurefile-premium-500Gi-output.txt,azurefile-premium,500,3.62118,1.95668,3917,3730.,152,156,153,159,2420,799
azure/results/azurefile-premium-500Gi-output.txt,azurefile-premium,500,3.9282,2.07289,4221,3463.,148,157,154,159,2208,743
azure/results/azurefile-premium-500Gi-output.txt,azurefile-premium,500,3.52239,1.95167,4241,3566.,146,154,163,160,2262,750


azure/results/blob-100Gi-output.txt,blob,100,0.39042,0.17019,14.6k,23.7k.,2349,218,1341,212,2949,989
azure/results/blob-100Gi-output.txt,blob,100,0.27686,0.16214,15.7k,23.1k.,3286,221,1216,222,3047,1013
azure/results/blob-100Gi-output.txt,blob,100,0.42302,0.1687,14.6k,24.4k.,2585,227,1305,209,2979,975


azure/results/blob-1Ti-output.txt,blob,1024,0.25167,0.16746,16.3k,23.9k.,3147,217,1466,212,3155,1035
azure/results/blob-1Ti-output.txt,blob,1024,0.34948,0.16923,12.8k,23.2k.,2651,222,1201,210,2946,987
azure/results/blob-1Ti-output.txt,blob,1024,0.24076,0.16665,18.6k,23.8k.,2927,215,1330,211,3104,1030


azure/results/blob-500Gi-output.txt,blob,500,0.4213,0.17644,13.1k,23.4k.,2110,223,1405,211,2912,973
azure/results/blob-500Gi-output.txt,blob,500,0.34313,0.17183,19.9k,23.7k.,3067,219,1332,222,2902,961
azure/results/blob-500Gi-output.txt,blob,500,0.34274,0.16621,14.5k,23.1k.,2459,222,1346,216,3000,995


azure/results/blob-nfs-100Gi-output.txt,blob-nfs,100,53.54,482.03,930,23.,137,6980,254,29,74,24
azure/results/blob-nfs-100Gi-output.txt,blob-nfs,100,56.19,421.14,906,30.,126,7395,238,29,78,25
azure/results/blob-nfs-100Gi-output.txt,blob-nfs,100,50.91,384.70,929,24.,112,8000,265,21,57,18


azure/results/blob-nfs-1Ti-output.txt,blob-nfs,1024,50.58,406.27,889,20.,117,6547,260,27,57,20
azure/results/blob-nfs-1Ti-output.txt,blob-nfs,1024,56.87,440.01,884,25.,115,7320,261,29,86,27
azure/results/blob-nfs-1Ti-output.txt,blob-nfs,1024,52.75,429.41,958,28.,135,6632,282,27,69,23


azure/results/blob-nfs-500Gi-output.txt,blob-nfs,500,51.65,397.70,930,29.,137,8858,233,29,87,30
azure/results/blob-nfs-500Gi-output.txt,blob-nfs,500,51.56,448.61,911,23.,120,7183,250,28,54,19
azure/results/blob-nfs-500Gi-output.txt,blob-nfs,500,52.79,450.83,861,24.,112,7541,292,28,75,26


azure/results/blob-premium-100Gi-output.txt,blob-premium,100,0.31472,0.16744,14.3k,23.8k.,2707,225,1332,214,2943,983
azure/results/blob-premium-100Gi-output.txt,blob-premium,100,0.33521,0.17421,13.9k,23.4k.,2506,218,1343,213,2953,978
azure/results/blob-premium-100Gi-output.txt,blob-premium,100,0.35863,0.16708,15.7k,24.3k.,2494,223,1310,211,3184,1062


azure/results/blob-premium-1Ti-output.txt,blob-premium,1024,0.31584,0.17078,14.5k,22.8k.,2506,226,1205,210,2954,986
azure/results/blob-premium-1Ti-output.txt,blob-premium,1024,0.31267,0.17164,15.8k,24.2k.,2561,230,1335,213,3176,1047
azure/results/blob-premium-1Ti-output.txt,blob-premium,1024,0.32638,0.17628,16.2k,22.2k.,3109,219,1378,213,3255,1088


azure/results/blob-premium-500Gi-output.txt,blob-premium,500,0.27703,0.17033,15.5k,22.6k.,3415,222,1214,214,3004,999
azure/results/blob-premium-500Gi-output.txt,blob-premium,500,0.35289,0.17033,13.1k,23.9k.,2512,218,1409,209,2997,991
azure/results/blob-premium-500Gi-output.txt,blob-premium,500,0.28467,0.16796,16.9k,23.1k.,3079,217,1334,215,3120,1053


azure/results/default-100Gi-output.txt,default,100,0.49116,6.69435,8169,594.,195,74,195,143,1770,595
azure/results/default-100Gi-output.txt,default,100,0.49454,7.06,8085,557.,176,70,195,145,1804,596
azure/results/default-100Gi-output.txt,default,100,0.49525,7.19,8085,557.,177,70,195,144,1778,596


azure/results/default-10Gi-output.txt,default,10,0.49124,6.67832,8140,588.,193,74,194,145,1786,593
azure/results/default-10Gi-output.txt,default,10,0.49116,6.67,8147,596.,195,75,195,144,1768,592
azure/results/default-10Gi-output.txt,default,10,0.49142,6.69458,8177,595.,195,75,195,145,1766,593


azure/results/default-500Gi-output.txt,default,500,0.49144,6.68819,8158,595.,195,75,195,143,1765,595
azure/results/default-500Gi-output.txt,default,500,0.49093,6.68363,8181,596.,194,75,195,143,1770,595
azure/results/default-500Gi-output.txt,default,500,0.48991,6.67,8170,594.,195,75,195,143,1821,595


azure/results/disk-no-cache-100Gi-output.txt,disk-no-cache,100,8.71,7.03727,578,551.,72,69,93,93,442,154
azure/results/disk-no-cache-100Gi-output.txt,disk-no-cache,100,6.69,6.68,596,596.,75,75,93,93,445,151
azure/results/disk-no-cache-100Gi-output.txt,disk-no-cache,100,8.98,7.23,579,550.,72,69,93,93,450,145


azure/results/managed-premium-100Gi-output.txt,managed-premium,100,0.50583,1.32495,8101,3423.,176,149,194,163,6144,2022
azure/results/managed-premium-100Gi-output.txt,managed-premium,100,0.48924,1.42383,8073,3404.,174,144,195,163,6119,2052
azure/results/managed-premium-100Gi-output.txt,managed-premium,100,0.48959,1.32984,8158,3503.,195,162,194,163,6124,2031


azure/results/managed-premium-10Gi-output.txt,managed-premium,10,0.49006,1.44968,8152,3500.,195,162,194,159,6095,2036
azure/results/managed-premium-10Gi-output.txt,managed-premium,10,0.49017,1.34889,8160,3503.,195,162,195,163,6121,2052
azure/results/managed-premium-10Gi-output.txt,managed-premium,10,0.48934,1.32354,8159,3503.,195,162,194,163,6133,2024


azure/results/managed-premium-500Gi-output.txt,managed-premium,500,0.49828,1.47069,8066,3409.,173,144,193,157,6045,2017
azure/results/managed-premium-500Gi-output.txt,managed-premium,500,0.49074,1.36957,8160,3501.,194,162,195,162,6139,2017
azure/results/managed-premium-500Gi-output.txt,managed-premium,500,0.49627,1.35655,8088,3423.,176,149,194,158,6061,2014


gcp/results/gcp-basic-dbench-standard-output.txt,standard,10,24.4623,12.02,153,314.,17,30,118,119,138,47
gcp/results/gcp-basic-dbench-standard-output.txt,standard,10,24.2545,12.0046,161,327.,17,31,99,113,138,46


gcp/results/gcp-filestore-dbench-hdd-output.txt,"",10,0.26375,2.83947,47.3k,1571.,569,126,736,130,4800,1572
gcp/results/gcp-filestore-dbench-hdd-output.txt,"",10,0.28683,3.02881,46.9k,1572.,574,126,670,130,4662,1571
gcp/results/gcp-filestore-dbench-hdd-output.txt,"",10,0.26323,2.57686,52.6k,1569.,608,126,779,131,4715,1575


gcp/results/premium-rwo-100Gi-output.txt,premium-rwo,100,0.87049,1.33088,6045,2994.,98,96,82,85,4518,1520
gcp/results/premium-rwo-100Gi-output.txt,premium-rwo,100,0.9137,1.3297,6046,2994.,98,96,81,86,4534,1504
gcp/results/premium-rwo-100Gi-output.txt,premium-rwo,100,0.90697,1.33063,6040,2994.,97,96,81,86,4522,1521


gcp/results/premium-rwo-10Gi-output.txt,premium-rwo,10,2.66383,2.66476,4534,1494.,72,67,51,34,3380,1128
gcp/results/premium-rwo-10Gi-output.txt,premium-rwo,10,2.66439,2.66493,4507,1494.,72,67,55,34,3385,1119
gcp/results/premium-rwo-10Gi-output.txt,premium-rwo,10,2.6635,2.66444,4509,1494.,72,67,55,34,3387,1117


gcp/results/premium-rwo-500Gi-output.txt,premium-rwo,500,0.71529,1.03699,14.1k,14.1k.,234,204,240,204,11.3k,3731
gcp/results/premium-rwo-500Gi-output.txt,premium-rwo,500,0.66054,0.72257,14.1k,14.1k.,233,204,240,204,11.3k,3761
gcp/results/premium-rwo-500Gi-output.txt,premium-rwo,500,0.60636,0.70488,14.1k,14.1k.,234,204,240,204,11.3k,3755


gcp/results/standard-100Gi-output.txt,standard,100,18.6874,6.57551,298,600.,28,46,118,120,256,85
gcp/results/standard-100Gi-output.txt,standard,100,16.3718,6.59209,298,602.,28,46,119,120,254,89
gcp/results/standard-100Gi-output.txt,standard,100,16.113,6.58129,298,601.,29,47,114,117,256,86


